trimestre,carbonatadas_mcu,agua_mcu,garrafon_mcu,total_mcu
2021Q1,52.28,6.87,2.98,62.13
2021Q2,54.34,7.37,3.16,64.87
2021Q3,54.54,7.2,3.11,64.85
2021Q4,59.86,8.12,3.49,71.47
2022Q1,53.17,7.24,3.12,63.53
2022Q2,56.51,7.64,3.27,67.42
2022Q3,56.18,7.54,3.25,66.97
2022Q4,62.78,8.55,3.59,74.92
2023Q1,56.11,7.63,3.19,66.93
2023Q2,57.69,8.14,3.4,69.23
2023Q3,57.97,8.06,3.35,69.38
2023Q4,65.21,8.99,3.77,77.97
2024Q1,55.13,8.07,3.37,66.57
2024Q2,57.52,8.52,3.83,69.87
2024Q3,56.35,8.37,3.79,68.51
2024Q4,63.14,9.38,4.27,76.79
2025Q1,57.82,8.42,3.81,70.05
2025Q2,60.07,8.85,3.69,72.61
2025Q3,59.97,8.86,3.58,72.41
2025Q4,67.32,9.86,4.04,81.22
2026Q1,61.72,8.9,3.61,74.23
